id,label,candidategivenname,candidatefamilyname,issittingmp,isformermp,isstandingascommonsspeaker,isstandingasindependent,isnotionalpoliticalpartyaggregate,votecount,votechange,iswinningcandidacy,democracyclubpersonidentifier,inelection,ofmember,havinggender
9339,beep,Pat,Osborne,false,false,false,false,false,6737,-0.066416,false,,1699,,1
9352,beep,Philippa,Fleming,false,false,false,false,false,1891,0.010165,false,,1702,,2
9369,beep,Culann,Walsh,false,false,false,false,false,1754,0.00398,false,,1706,,1
9384,beep,Ellie,Chowns,false,false,false,false,false,4769,0.038225,false,,1709,,2
9406,beep,Coral,Jones,false,false,false,false,false,12877,-0.072607,false,,1714,,2
9419,beep,Cathy,Cordiner-Achenbach,false,false,false,false,false,14324,-0.083095,false,,1717,,2
9433,beep,Carl,Benfield,false,false,false,false,false,2478,0.025478,false,,1720,,1
9455,beep,Adrian,Holmes,false,false,false,false,false,1078,0.006252,false,,1725,,1
9473,beep,Christina,Morgan-Danvers,false,false,false,false,false,1582,0.027201,false,,1728,,2
9491,beep,Chris,Elmore,true,true,false,false,false,17602,-0.126889,true,,1732,745,1
9504,beep,Sam,Al-Hamdani,false,false,false,false,false,2423,0.016706,false,,1734,,1
9508,beep,Dan,Jerrome,false,false,false,false,false,681,0.005738,false,,1735,,1
9526,beep,Chaka,Artwell,false,false,false,true,false,143,,false,,1738,,1
9549,beep,Miriam,Cates,false,false,false,false,false,23688,0.046814,true,,1743,982,2
9564,beep,Paul,Bristow,false,false,false,false,false,22334,-0.000805,true,,1746,984,1
