id,procedure_statutory_instrument_name,statutory_instrument_number,statutory_instrument_number_prefix,statutory_instrument_number_year,coming_into_force_note,coming_into_force_date,made_date,web_link,triple_store_id,acts_string,preceding_work_packaged_thing_string
913,"Public Record, Disclosure of Information and Co-operation (Financial Services) (Amendment) (EU Exit) Regulations 2019",,SI,2019,in accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2019/9780111178942,yS1SYMrk,"862, 1282, 1, 2419",
980,Greater Manchester Combined Authority (Functions and Amendment) Order 2019,,SI,2019,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2019/9780111179543,qJITFhXo,949,
5952,Higher-Risk Buildings (Keeping and Provision of Information etc.) (England) Regulations 2023,,SI,2023,In accordance with regulation 1(1),,,https://www.legislation.gov.uk/ukdsi/2023/9780348252323,wQan443I,1650,
6706,Bail and Release from Custody (Scotland) Act 2023 (Consequential Modifications) Order 2024,,SI,2024,in accordance with article 1,,,https://www.legislation.gov.uk/ukdsi/2024/9780348264470,q3UqbJ7S,1289,
3072,Intellectual Property (Amendment etc.) (EU Exit) Regulations 2020,,SI,2020,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2020/9780348209839,4Sp7TSOj,"1, 554, 3994",
6658,Reporting on Payment Practices and Performance (Amendment) (No. 2) Regulations 2024,,SI,2024,,,,https://www.legislation.gov.uk/ukdsi/2024/9780348261677,ABRPeQW8,1330,
6155,East Midlands Combined County Authority Regulations 2024,,SI,2024,In accordance with regulation 1(2) and (3),,,https://www.legislation.gov.uk/ukdsi/2024/9780348255614,0gDalreu,18399,
4263,Heavy Commercial Vehicles in Kent (No. 1) (Amendment) Order 2021,,SI,2021,,2021-10-31 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2021/9780348227048,mmV2e4Og,"503, 938",
5470,Service Police (Complaints etc.) Regulations 2023,,SI,2023,,2023-06-19 01:00:00+01,,https://www.legislation.gov.uk/ukdsi/2023/9780348245073,Xb7kx0ba,1366,
6513,Human Fertilisation and Embryology (Amendment) Regulations 2024,,SI,2024,In accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2024/9780348261554,3Y178nWm,1011,
6478,Recognition and Enforcement of Judgments (2019 Hague Convention etc.) Regulations 2024,,SI,2024,in accordance with regulation 1(2),,,https://www.legislation.gov.uk/ukdsi/2024/9780348260960,6GomaKHl,1356,
6895,Electricity Capacity (Amendment) Regulations 2025,,SI,2025,,,,https://www.legislation.gov.uk/ukdsi/2025/9780348267303,fZVqCJZo,863,
2217,Mandatory Use of Closed Circuit Television in Slaughterhouses (England) Regulations 2018,,SI,2018,,,,https://www.legislation.gov.uk/ukdsi/2018/9780111166123,5pQondep,1328,
