id,title,weblink,enabledby,triplestoreid
488,Exotic Disease (Amendment) (England) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-exotic-disease-amendment-england-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,PhC0tWst
489,Persistent Organic Pollutants (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-persistent-organic-pollutants-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,QyHqGISh
490,INSPIRE (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-inspire-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,cvq0Crjk
491,Control of Mercury (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-control-of-mercury-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,AQVBIbnu
492,Local Government (Miscellaneous Amendments) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-local-government-miscellaneous-amendments-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,TQWfEkkZ
494,"European Enforcement Order, European Order for Payment and European Small Claims Procedure (Amendment etc.) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-european-enforcement-order-european-order-for-payment-and-european-small-claims-procedure-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,OuxnIlCu
498,Provision of Services (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-provision-of-services-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,MB6Ibb7Y
501,Aquatic Animal Health and Alien Species in Aquaculture (Amendment) (England and Wales) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-aquatic-animal-health-and-alien-species-in-aquaculture-amendment-england-and-wales-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,oUFHa4BQ
502,Aquatic Animal Health and Alien Species in Aquaculture (Amendment etc.) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-aquatic-animal-health-and-alien-species-in-aquaculture-amendment-etc-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,zQNHtB3t
503,Animal Welfare (Amendment) (EU Exit) Regulations 2018,https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-animal-welfare-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,mCv2SCZ4
509,"Environment, Food and Rural Affairs (Environmental Impact Assessment) (Amendment) (EU Exit) Regulations 2018",https://www.gov.uk/eu-withdrawal-act-2018-statutory-instruments/the-environment-food-and-rural-affairs-environmental-impact-assessment-amendment-eu-exit-regulations-2018,urn:procedure-editor:ActOfParliament:1,DeiEAcxa
