id,title,royalassentdate,year,chapternumber,legislationgovuri,dataparliamenturi,triplestoreid
98,Children (Scotland) Act 1995,1995-07-19,1995,36,https://www.legislation.gov.uk/id/ukpga/1995/36,http://data.parliament.uk/pimsdata/PublicGeneralAct/4536,t4CdmQR6
99,Appropriation (No. 2) Act 1992,1992-07-16,1992,47,https://www.legislation.gov.uk/id/ukpga/1992/47,http://data.parliament.uk/pimsdata/PublicGeneralAct/4720,h951eGE9
101,Consolidated Fund Act 1992,1992-02-13,1992,1,https://www.legislation.gov.uk/id/ukpga/1992/1,http://data.parliament.uk/pimsdata/PublicGeneralAct/6463,x24EcJgk
103,Child Support Act 1995,1995-07-19,1995,34,https://www.legislation.gov.uk/id/ukpga/1995/34,http://data.parliament.uk/pimsdata/PublicGeneralAct/4534,qEWkb3uF
104,Criminal Procedure (Intermediate Diets) (Scotland) Act 1998,1998-04-08,1998,10,https://www.legislation.gov.uk/id/ukpga/1998/10,http://data.parliament.uk/pimsdata/PublicGeneralAct/4334,O3FlA5V6
105,Consumers Estate Agents and Redress Act 2007,2007-07-19,2007,17,https://www.legislation.gov.uk/id/ukpga/2007/17,http://data.parliament.uk/pimsdata/PublicGeneralAct/7721,6hY02FUu
106,Environment Act 1995,1995-07-19,1995,25,https://www.legislation.gov.uk/id/ukpga/1995/25,http://data.parliament.uk/pimsdata/PublicGeneralAct/4525,BCrExIo9
107,Pensions Act 1995,1995-07-19,1995,26,https://www.legislation.gov.uk/id/ukpga/1995/26,http://data.parliament.uk/pimsdata/PublicGeneralAct/4526,PMYzfX0f
108,Consolidated Fund (No. 3) Act 1991,1991-12-19,1991,68,https://www.legislation.gov.uk/id/ukpga/1991/68,http://data.parliament.uk/pimsdata/PublicGeneralAct/6470,s0S4pCR5
109,Crown Agents Act 1995,1995-07-19,1995,24,https://www.legislation.gov.uk/id/ukpga/1995/24,http://data.parliament.uk/pimsdata/PublicGeneralAct/4524,CToylKwu
110,Consolidated Fund Act 2009,2009-12-16,2009,27,https://www.legislation.gov.uk/id/ukpga/2009/27,http://data.parliament.uk/pimsdata/PublicGeneralAct/8466,uKkCmtqn
111,Export and Investment Guarantees Act 1991,1991-10-22,1991,67,https://www.legislation.gov.uk/id/ukpga/1991/67,http://data.parliament.uk/pimsdata/PublicGeneralAct/6474,AaIbzKjJ
112,British Technology Group Act 1991,1991-10-22,1991,66,https://www.legislation.gov.uk/id/ukpga/1991/66,http://data.parliament.uk/pimsdata/PublicGeneralAct/6475,tjxhdfSH
113,Mental Health Act 2007,2007-07-19,2007,12,https://www.legislation.gov.uk/id/ukpga/2007/12,http://data.parliament.uk/pimsdata/PublicGeneralAct/7716,GwGZpkLF
114,European Communities (Amendment) Act 1998,1998-06-11,1998,21,https://www.legislation.gov.uk/id/ukpga/1998/21,http://data.parliament.uk/pimsdata/PublicGeneralAct/4323,n6mEAf1m
115,Social Security Act 1998,1998-05-21,1998,14,https://www.legislation.gov.uk/id/ukpga/1998/14,http://data.parliament.uk/pimsdata/PublicGeneralAct/4328,3MNG2G5i
116,Appropriation (No. 2) Act 2007,2007-07-19,2007,10,https://www.legislation.gov.uk/id/ukpga/2007/10,http://data.parliament.uk/pimsdata/PublicGeneralAct/7713,oUitavxC
117,Coal Industry Act 1994.,1994-07-05,1994,21,https://www.legislation.gov.uk/id/ukpga/1994/21,http://data.parliament.uk/pimsdata/PublicGeneralAct/4598,KpZEanF3
118,Boundary Commissions Act 1992,1992-11-12,1992,55,https://www.legislation.gov.uk/id/ukpga/1992/55,http://data.parliament.uk/pimsdata/PublicGeneralAct/4708,qnXanVuW
119,Antarctic Act 1994. 5 July 1994,1994-07-05,1994,15,https://www.legislation.gov.uk/id/ukpga/1994/15,http://data.parliament.uk/pimsdata/PublicGeneralAct/4595,uNMgneHF
120,Chiropractors Act 1994,1994-07-05,1994,17,https://www.legislation.gov.uk/id/ukpga/1994/17,http://data.parliament.uk/pimsdata/PublicGeneralAct/4594,Hf624RIq
121,Data Protection Act 1998,1998-07-16,1998,29,https://www.legislation.gov.uk/id/ukpga/1998/29,http://data.parliament.uk/pimsdata/PublicGeneralAct/4312,go6PxXGV
122,Appropriation Act 1998,1998-07-16,1998,28,https://www.legislation.gov.uk/id/ukpga/1998/28,http://data.parliament.uk/pimsdata/PublicGeneralAct/4313,Lo0nsLN1
123,Coal Industry Act 1992,1992-03-06,1992,17,https://www.legislation.gov.uk/id/ukpga/1992/17,http://data.parliament.uk/pimsdata/PublicGeneralAct/6445,1PgdkwyL
124,Education Act 1994,1994-07-21,1994,30,https://www.legislation.gov.uk/id/ukpga/1994/30,http://data.parliament.uk/pimsdata/PublicGeneralAct/4575,iME6mXG5
125,Appropriate Act 1994,1994-07-21,1994,24,https://www.legislation.gov.uk/id/ukpga/1994/24,http://data.parliament.uk/pimsdata/PublicGeneralAct/4577,ViOo8ANE
126,Cheques Act 1992,1992-03-16,1992,32,https://www.legislation.gov.uk/id/ukpga/1992/32,http://data.parliament.uk/pimsdata/PublicGeneralAct/6428,qtW79WXh
127,Army Act 1992,1992-03-16,1992,39,https://www.legislation.gov.uk/id/ukpga/1992/39,http://data.parliament.uk/pimsdata/PublicGeneralAct/6421,uC24mmJJ
128,European Union (Accessions) Act 1994,1994-11-03,1994,38,https://www.legislation.gov.uk/id/ukpga/1994/38,http://data.parliament.uk/pimsdata/PublicGeneralAct/4570,o5jBNVRl
129,Consolidated Fund (No. 2) Act 1994,1994-12-16,1994,41,https://www.legislation.gov.uk/id/ukpga/1994/41,http://data.parliament.uk/pimsdata/PublicGeneralAct/4563,SbFXhuuZ
130,European Communities (Finance) Act 1995,1995-01-16,1995,1,https://www.legislation.gov.uk/id/ukpga/1995/1,http://data.parliament.uk/pimsdata/PublicGeneralAct/4562,31lWA1ID
131,Drug Trafficking Act 1994,1994-11-03,1994,37,https://www.legislation.gov.uk/id/ukpga/1994/37,http://data.parliament.uk/pimsdata/PublicGeneralAct/4569,dw8GFqLu
132,Appropriation Act 1992,1992-03-16,1992,22,https://www.legislation.gov.uk/id/ukpga/1992/22,http://data.parliament.uk/pimsdata/PublicGeneralAct/6438,oB7xajpK
133,Digital Switchover (Disclosure of Information) Act 2007,2007-06-18,2007,8,https://www.legislation.gov.uk/id/ukpga/2007/8,http://data.parliament.uk/pimsdata/PublicGeneralAct/7672,MqAUYc0a
134,Fraud Act 2006,2006-11-08,2006,35,https://www.legislation.gov.uk/id/ukpga/2006/35,http://data.parliament.uk/pimsdata/PublicGeneralAct/7427,rGmVMEeE
135,Consolidated Fund Act 2000,2000-03-21,2000,3,https://www.legislation.gov.uk/id/ukpga/2000/3,http://data.parliament.uk/pimsdata/PublicGeneralAct/4241,ejVgfryb
136,Armed Forces Discipline Act 2000,2000-05-25,2000,4,https://www.legislation.gov.uk/id/ukpga/2000/4,http://data.parliament.uk/pimsdata/PublicGeneralAct/4240,xFqZAQvJ
137,Consolidated Fund (No. 2) Act 1999,1999-12-20,1999,35,https://www.legislation.gov.uk/id/ukpga/1999/35,http://data.parliament.uk/pimsdata/PublicGeneralAct/4249,VfsWEPKi
138,Representation of the People Act 2000,2000-03-09,2000,2,https://www.legislation.gov.uk/id/ukpga/2000/2,http://data.parliament.uk/pimsdata/PublicGeneralAct/4242,wHOiu3NM
139,Electricity (Miscellaneous Provisions) Act 2003,2003-05-08,2003,9,https://www.legislation.gov.uk/id/ukpga/2003/9,http://data.parliament.uk/pimsdata/PublicGeneralAct/4070,mttiHdp0
140,Consolidated Fund Act 2003,2003-03-20,2003,2,https://www.legislation.gov.uk/id/ukpga/2003/2,http://data.parliament.uk/pimsdata/PublicGeneralAct/4076,jVZPmsgg
141,Atomic Weapons Establishment Act 1991,1991-07-25,1991,46,https://www.legislation.gov.uk/id/ukpga/1991/46,http://data.parliament.uk/pimsdata/PublicGeneralAct/6501,SEAvPp0B
142,Coal Mining Subsidence Act 1991,1991-07-25,1991,45,https://www.legislation.gov.uk/id/ukpga/1991/45,http://data.parliament.uk/pimsdata/PublicGeneralAct/6502,LxbpHIvL
143,Education and Skills Act 2008,2008-11-26,2008,25,https://www.legislation.gov.uk/id/ukpga/2008/25,http://data.parliament.uk/pimsdata/PublicGeneralAct/8073,GWlgxL39
144,Local Transport Act 2008,2008-11-26,2008,26,https://www.legislation.gov.uk/id/ukpga/2008/26,http://data.parliament.uk/pimsdata/PublicGeneralAct/8074,wzCK6gop
145,Pensions Act 2008,2008-11-26,2008,30,https://www.legislation.gov.uk/id/ukpga/2008/30,http://data.parliament.uk/pimsdata/PublicGeneralAct/8079,Idzz92BC
146,Agriculture and Forestry (Financial Provisions) Act 1991,1991-07-25,1991,33,https://www.legislation.gov.uk/id/ukpga/1991/33,http://data.parliament.uk/pimsdata/PublicGeneralAct/6514,xxed2t0w
147,Appropriation Act 1991,1991-07-25,1991,32,https://www.legislation.gov.uk/id/ukpga/1991/32,http://data.parliament.uk/pimsdata/PublicGeneralAct/6515,ei2Kd6wU
148,Competition Act 1998,1998-11-09,1998,41,https://www.legislation.gov.uk/id/ukpga/1998/41,http://data.parliament.uk/pimsdata/PublicGeneralAct/4298,iFp1ugJ8
149,Badgers Act 1991,1991-07-25,1991,36,https://www.legislation.gov.uk/id/ukpga/1991/36,http://data.parliament.uk/pimsdata/PublicGeneralAct/6511,uFMJ1mdq
150,Criminal Justice (Terrorism and Conspiracy) Act 1998,1998-09-04,1998,40,https://www.legislation.gov.uk/id/ukpga/1998/40,http://data.parliament.uk/pimsdata/PublicGeneralAct/4299,1KWgagBv
